, AUS, AUT, BEL, CAN, CZE, DNK, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NZL, NOR, POL, PRT, SVK, ESP, SWE, CHE, TUR, GBR, USA, BRA, CHL, CHN, COL, EST, IND, IDN, ISR, RUS, SVN, ZAF, DEW, LVA, LTU, SAU, EA19, ARG, CRI, BGR, HRV, CYP, MLT, ROU, MKD, MDG, MAR, ZMB, SRB, HKG, EU27_2020, ALB, SGP, GEO, CMR, SEN
AUS, 1.0, 1.5181419172219741, 1.5181419172219741, 1.1076473910053743, 0.06172299524767736, 0.20373558962554789, 1.5181419172219741, 1.5181419172219741, 1.5181419172219741, 1.5181419172219741, 0.00386924348668172, 0.010656897134653455, 1.5181419172219741, 1.5181419172219741, 0.010963379405974867, 0.0011163171014633934, 1.5181419172219741, 0.07162711434938032, 1.5181419172219741, 0.9140752848591445, 0.14995204472732793, 0.3234056222881547, 1.5181419172219741, 1.5181419172219741, 1.5181419172219741, 0.14253789034897396, 1.5098614206478207, 0.08711560796332798, 1.7769757747423278, 1.441664, 0.27917745455531306, 0.0016507964905505543, 0.2139869660174216, 0.00033872138897651945, 1.5181419172219741, 0.018340733228588684, 9.708270574332201e-05, 0.42911596391728335, 0.021050817273087562, 1.5181419172219741, 0.08814361439907782, 0.08814361439907782, 1.5181419172219741, 1.5181419172219741, 0.38444373333333337, 1.5181419172219741, 0.011037376197732984, 0.0022277610972848364, 0.7750290031621242, 1.517124242708056, 1.5181419172219741, 1.5181419172219741, 0.30749102853273186, 0.02461253033578223, 0.00035195876660709484, 0.14188684593323664, 0.08511622134761289, 0.012910942283834806, 0.18408724755685976, 1.5181419172219741, 0.012753385882039408, 1.0456941378882645, 0.49436389822371585, 0.0023112490237646825, 0.0023112490237646825
AUT, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
BEL, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
CAN, 0.9028143867086922, 1.3706003639335147, 1.3706003639335147, 1.0, 0.05572440810035536, 0.1839354213985228, 1.3706003639335147, 1.3706003639335147, 1.3706003639335147, 1.3706003639335147, 0.003493208685455159, 0.009621200050839777, 1.3706003639335147, 1.3706003639335147, 0.009897896654659906, 0.0010078271393300982, 1.3706003639335147, 0.06466598931304916, 1.3706003639335147, 0.8252403177056816, 0.13537886329621693, 0.29197524854422335, 1.3706003639335147, 1.3706003639335147, 1.3706003639335147, 0.12868525805815972, 1.363124612497277, 0.07864922417616681, 1.6042792942701978, 1.301555, 0.25204542241724875, 0.00149036282119726, 0.19319051148867222, 0.00030580254305395276, 1.3706003639335147, 0.016558277821556024, 8.764766344567768e-05, 0.38741206579089144, 0.01900498068611929, 1.3706003639335147, 0.07957732317599088, 0.07957732317599088, 1.3706003639335147, 1.3706003639335147, 0.34708133333333335, 1.3706003639335147, 0.00996470202282942, 0.0020112547687786927, 0.6997073341712622, 1.3696815927413626, 1.3706003639335147, 1.3706003639335147, 0.2776073243432033, 0.022220546480448314, 0.00031775343802113205, 0.1280974857932457, 0.07684414917490642, 0.011656184439811642, 0.16619661550393755, 1.3706003639335147, 0.0115139402535527, 0.9440677117824681, 0.4463188395857623, 0.002086628869921175, 0.002086628869921175
CZE, 16.201417251176416, 24.596050647414135, 24.596050647414135, 17.94545754885502, 1.0, 3.3008052964379506, 24.596050647414135, 24.596050647414135, 24.596050647414135, 24.596050647414135, 0.06268722817412721, 0.17265683708138702, 24.596050647414135, 24.596050647414135, 0.1776222842391535, 0.018085919145432276, 24.596050647414135, 1.1604607660720363, 24.596050647414135, 14.80931508899094, 2.429435644294508, 5.239629428066754, 24.596050647414135, 24.596050647414135, 24.596050647414135, 2.309315835646159, 24.461894867369338, 1.4113963137037837, 28.78952597183293, 23.357, 4.52307042837197, 0.026745242740187237, 3.466892122761556, 0.00548776655470662, 24.596050647414135, 0.29714587172888124, 0.001572877423620741, 6.9522867805646715, 0.34105307411956337, 24.596050647414135, 1.4280514749062614, 1.4280514749062614, 24.596050647414135, 24.596050647414135, 6.228533333333333, 24.596050647414135, 0.17882113713767514, 0.03609288707305025, 12.5565682619929, 24.579562877988256, 24.596050647414135, 24.596050647414135, 4.981790454252182, 0.3987578735772451, 0.0057022308330109605, 2.2987679934177505, 1.379003416896166, 0.20917556304626428, 2.9824743082892917, 24.596050647414135, 0.20662292604018304, 16.94172704503698, 8.009395789040532, 0.03744550980538578, 0.03744550980538578
DNK, 4.90832260498979, 7.451530289883154, 7.451530289883154, 5.436690727629643, 0.30295637282185217, 1.0, 7.451530289883154, 7.451530289883154, 7.451530289883154, 7.451530289883154, 0.018991495269889396, 0.05230748910507047, 7.451530289883154, 7.451530289883154, 0.053811802965425974, 0.0054792444634494545, 7.451530289883154, 0.35156898449125196, 7.451530289883154, 4.48657638333662, 0.7360130107995836, 1.5873791264577395, 7.451530289883154, 7.451530289883154, 7.451530289883154, 0.6996219492674248, 7.410886941367696, 0.42759150781383126, 8.721970363687012, 7.076152, 1.370293010997353, 0.0081026417308071, 1.0503170624764924, 0.0016625538503069897, 7.451530289883154, 0.0900222354979692, 0.0004765132391535195, 2.106239585857185, 0.10332420227500522, 7.451530289883154, 0.43263729504049714, 0.43263729504049714, 7.451530289883154, 7.451530289883154, 1.8869738666666669, 7.451530289883154, 0.05417500309110906, 0.01093457015232002, 3.8040923757433576, 7.446535215061967, 7.451530289883154, 7.451530289883154, 1.5092651661787682, 0.12080623901311686, 0.001727527170161929, 0.6964264132448089, 0.4177778732918028, 0.06337106986346489, 0.9035595984736863, 7.451530289883154, 0.06259773221497167, 5.132604174902279, 2.426497496742336, 0.011344355829104775, 0.011344355829104775
FIN, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
FRA, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
DEU, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
GRC, 0.6586999467282252, 1.0, 1.0, 0.7296072774488976, 0.04065693368155157, 0.13420062203299193, 1.0, 1.0, 1.0, 1.0, 0.002548670478555781, 0.007019697574884406, 1.0, 1.0, 0.007221577430676966, 0.0007353180152657439, 1.0, 0.04718077640623331, 1.0, 0.6021013414423056, 0.09877340387367933, 0.21302726617281603, 1.0, 1.0, 1.0, 0.09388970077962273, 0.994545637347722, 0.05738304632464109, 1.170493848160118, 0.949624, 0.18389417444330622, 0.0010873795603847912, 0.14095320311621012, 0.00022311576087454378, 1.0, 0.012081040000627956, 6.394837310135816e-05, 0.2826586625725455, 0.013866172216368381, 1.0, 0.058060194109105775, 0.058060194109105775, 1.0, 1.0, 0.2532330666666667, 1.0, 0.007270319113466097, 0.001467426116104734, 0.5105115630957207, 0.9993296578518954, 1.0, 1.0, 0.20254432411391762, 0.01621227242102658, 0.0002318352208146252, 0.09346085785765886, 0.05606605046738043, 0.008504436994573176, 0.12125826015904913, 1.0, 0.008400654601103856, 0.6887986729210172, 0.3256374734243193, 0.0015224196088294588, 0.0015224196088294588
